word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0x64DC99,3,102,20.4,5.0,102,11,50,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0xD899A4,3,37,7.4,5.0,37,11,27,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x266909D551,5,36,7.2,5.0,36,10,26,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x713698B9,4,146,29.2,5.0,146,40,85,Transcription,4.86,2.6627122812207427e-28,40,1,Transcription(4.86x)
0x26690A95,4,25,5.0,5.0,25,9,15,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x6909D551,4,33,6.6,5.0,33,9,23,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x26690A,3,29,5.8,5.0,29,11,17,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x3698B9,3,138,27.6,5.0,138,37,76,Transcription,4.86,3.1802293943932595e-26,37,1,Transcription(4.86x)
0x66909D55,4,124,24.8,5.0,124,16,63,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0x909D55,3,110,22.0,5.0,110,15,57,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x4DA62E7D44,5,101,20.2,5.0,101,18,43,Transcription,4.86,4.2025038246505523e-13,18,1,Transcription(4.86x)
0x4DA62E7D,4,140,28.0,5.0,140,30,69,Transcription,4.86,2.204833405121001e-21,30,1,Transcription(4.86x)
0xA62E7D44,4,100,20.0,5.0,100,19,43,Transcription,4.86,8.597864487644327e-14,19,1,Transcription(4.86x)
0x4DA62E,3,176,35.2,5.0,176,42,88,Transcription,4.74,1.8198768500663727e-27,41,1,Transcription(4.74x)
0x2E7D44,3,100,20.0,5.0,100,19,43,Transcription,4.86,8.597864487644327e-14,19,1,Transcription(4.86x)
0xC59842,3,35,7.0,5.0,35,11,26,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x4D672C99,4,32,6.4,5.0,32,7,20,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0xDC99A427,4,127,25.4,5.0,127,18,70,Transcription,4.59,2.9816094442978044e-11,17,1,Transcription(4.59x)
0x4D672C,3,34,6.8,5.0,34,8,21,Transcription,4.86,3.2046841631806567e-06,8,1,Transcription(4.86x)
0x66909D56,4,35,7.0,5.0,35,6,22,Transcription,4.86,7.591087417095647e-05,6,1,Transcription(4.86x)
0xB26690,3,69,13.8,5.0,69,20,43,Transcription,4.86,1.7583726700607206e-14,20,1,Transcription(4.86x)
0x971369882F,5,37,7.4,5.0,37,9,18,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x11B9171369,5,160,32.0,5.0,160,26,95,Transcription,4.86,1.2765052968862076e-18,26,1,Transcription(4.86x)
0x882F5175,4,22,4.4,5.0,22,8,14,Transcription,4.86,3.2046841631806567e-06,8,1,Transcription(4.86x)
0x97136988,4,40,8.0,5.0,40,11,21,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x11B91713,4,150,30.0,5.0,150,27,88,Transcription,4.86,2.6037862656508623e-19,27,1,Transcription(4.86x)
0x2F5175,3,21,4.2,5.0,21,8,15,Transcription,4.86,3.2046841631806567e-06,8,1,Transcription(4.86x)
0x971369,3,47,9.4,5.0,47,16,28,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0x672C99A4,4,41,8.2,5.0,41,12,22,Transcription,4.86,5.686083533494969e-09,12,1,Transcription(4.86x)
0x662C99,3,22,4.4,5.0,22,6,12,Transcription,4.86,7.591087417095647e-05,6,1,Transcription(4.86x)
0x2C99A4,3,84,16.8,5.0,84,23,47,Transcription,4.86,1.5007145693144815e-16,23,1,Transcription(4.86x)
0x4DC4DA,3,53,10.6,5.0,53,11,29,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x0BD54D,3,97,19.4,5.0,97,15,46,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0xD642C99A42,5,36,7.2,5.0,36,5,16,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x44D672C99A,5,56,11.2,5.0,56,11,31,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0xD672C99A42,5,65,13.0,5.0,65,14,37,Transcription,4.86,2.3897834069629653e-10,14,1,Transcription(4.86x)
0xD642C99A,4,34,6.8,5.0,34,5,15,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x42C99A42,4,34,6.8,5.0,34,5,15,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x44D672C9,4,77,15.4,5.0,77,13,39,Transcription,4.86,1.1659144608595997e-09,13,1,Transcription(4.86x)
0x72C99A42,4,62,12.4,5.0,62,14,35,Transcription,4.86,2.3897834069629653e-10,14,1,Transcription(4.86x)
0x9A427553,4,100,20.0,5.0,100,20,56,Transcription,4.86,1.7583726700607206e-14,20,1,Transcription(4.86x)
0xD642C9,3,51,10.2,5.0,51,9,25,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x42C99A,3,34,6.8,5.0,34,5,15,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x44D672,3,81,16.2,5.0,81,16,42,Transcription,4.86,1.0028987241334622e-11,16,1,Transcription(4.86x)
0x427553,3,78,15.6,5.0,78,15,48,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x69882F5535,5,115,23.0,5.0,115,15,62,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x882F5535,4,120,24.0,5.0,120,18,65,Transcription,4.86,4.2025038246505523e-13,18,1,Transcription(4.86x)
0x9CB26690,4,48,9.6,5.0,48,11,27,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0x2F5535,3,120,24.0,5.0,120,18,65,Transcription,4.86,4.2025038246505523e-13,18,1,Transcription(4.86x)
0x371369882F,5,28,5.6,5.0,28,7,21,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0xB937136988,5,21,4.2,5.0,21,5,15,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0xB9371369,4,24,4.8,5.0,24,5,18,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x37136988,4,29,5.8,5.0,29,7,22,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0x371369,3,45,9.0,5.0,45,11,30,Transcription,4.86,2.7720322109269433e-08,11,1,Transcription(4.86x)
0xB93713,3,29,5.8,5.0,29,8,18,Transcription,4.86,3.2046841631806567e-06,8,1,Transcription(4.86x)
0xC46E65,3,33,6.6,5.0,33,14,19,Transcription,4.86,2.3897834069629653e-10,14,1,Transcription(4.86x)
0xA720A9,3,23,4.6,5.0,23,5,11,Structural,41.53,6.584887722211777e-07,4,1,Structural(41.53x)
0xF7DF56,3,32,6.4,5.0,32,5,18,Unclassified,0,1.0,0,0,
0x20BD44265D,5,37,7.4,5.0,37,13,27,Transcription,4.86,1.1659144608595997e-09,13,1,Transcription(4.86x)
0xBD44265D,4,36,7.2,5.0,36,13,26,Transcription,4.86,1.1659144608595997e-09,13,1,Transcription(4.86x)
0x44265D,3,48,9.6,5.0,48,15,33,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x698B9F51,4,31,6.2,5.0,31,8,19,Transcription,4.86,3.2046841631806567e-06,8,1,Transcription(4.86x)
0x8B9F51,3,42,8.4,5.0,42,13,27,Transcription,4.86,1.1659144608595997e-09,13,1,Transcription(4.86x)
0x2E45C4DA62,5,68,13.6,5.0,68,14,42,Transcription,4.51,1.3216084022982544e-08,13,1,Transcription(4.51x)
0xC72E45C4DA,5,29,5.8,5.0,29,5,16,Transcription,3.88,0.007500360578701421,4,1,Transcription(3.88x)
0xC4DA620BD5,5,177,35.4,5.0,177,28,91,Transcription,4.68,5.857130511784356e-18,27,1,Transcription(4.68x)
0xDA620BD54D,5,111,22.2,5.0,111,14,57,Transcription,4.51,1.3216084022982544e-08,13,1,Transcription(4.51x)
0x2E45C4DA,4,69,13.8,5.0,69,14,43,Transcription,4.51,1.3216084022982544e-08,13,1,Transcription(4.51x)
0xC72E45C4,4,32,6.4,5.0,32,6,18,Transcription,4.05,0.0018359526442447652,5,1,Transcription(4.05x)
0xDA620BD5,4,177,35.4,5.0,177,32,89,Transcription,4.7,1.1535754574204923e-20,31,1,Transcription(4.7x)
0x620BD54D,4,108,21.6,5.0,108,16,53,Transcription,4.55,6.330105002269565e-10,15,1,Transcription(4.55x)
0x6085C4DA,4,34,6.8,5.0,34,5,10,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x2E45C4,3,69,13.8,5.0,69,14,41,Transcription,4.86,2.3897834069629653e-10,14,1,Transcription(4.86x)
0xC72E45,3,31,6.2,5.0,31,6,17,Transcription,4.86,7.591087417095647e-05,6,1,Transcription(4.86x)
0xC46085,3,39,7.8,5.0,39,5,12,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x6085C4,3,49,9.8,5.0,49,5,17,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x65DC59,3,53,10.6,5.0,53,7,33,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0xA42355,3,26,5.2,5.0,26,10,16,Transcription,4.86,1.3508959217719712e-07,10,1,Transcription(4.86x)
0x882755,3,21,4.2,5.0,21,6,12,Transcription,4.86,7.591087417095647e-05,6,1,Transcription(4.86x)
0xDA62E7D4,4,21,4.2,5.0,21,5,13,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0x627627,3,21,4.2,5.0,21,7,10,Kinase,11.44,1.1409953529183106e-06,6,1,Kinase(11.44x)
