word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xF5DC,2,96,11.1,8.6,96,37,70,Chromatin,5.66,6.142849882089553e-06,10,2,Chromatin(5.66x); Transcription(2.4x)
0x74D3,2,57,6.7,8.5,57,23,32,Cell adhesion,6.45,6.33426791515804e-05,7,1,Cell adhesion(6.45x)
0x9882,2,267,31.6,8.4,267,152,216,Transcription,2.96,2.9435258963786886e-31,101,1,Transcription(2.96x)
0x0A29,2,51,6.1,8.4,51,21,38,Unclassified,0,1.0,0,0,
0xDB6D,2,2220,267.0,8.3,2220,945,1429,Chromatin,2.06,8.572676455957316e-12,93,3,Chromatin(2.06x); Transcription(1.85x); Cytoskeleton(1.52x)
0x68A2,2,464,55.8,8.3,464,164,314,Cytoskeleton,3.99,2.555150942097982e-06,16,4,Cytoskeleton(3.99x); Cell cycle(3.83x); Chromatin(2.3x); DNA repair(1.97x)
0xDC8D,2,221,26.8,8.3,221,83,142,Cell cycle,3.4,0.0012672093329224932,9,3,Cell cycle(3.4x); DNA repair(2.68x); Chromatin(2.52x)
0x5B9E,2,103,12.4,8.3,103,48,80,Unclassified,0,1.0,0,0,
0x365C,2,57,6.9,8.3,57,30,47,Cell adhesion,4.95,0.00039442108137066807,7,1,Cell adhesion(4.95x)
0xF420,2,60,7.2,8.3,60,23,38,Chromatin,4.56,0.004000621113917155,5,1,Chromatin(4.56x)
0x856E,2,52,6.3,8.3,52,24,32,Structural,8.18,0.00029594141142778906,5,1,Structural(8.18x)
0x8650,2,54,6.6,8.2,54,29,43,Cell adhesion,8.77,2.691114123924934e-09,12,1,Cell adhesion(8.77x)
0x75DA,2,265,32.1,8.2,265,114,202,Chromatin,2.57,0.001039091595370623,14,3,Chromatin(2.57x); Kinase(2.44x); Transcription(1.6x)
0x9A69,2,747,91.6,8.2,747,344,490,RNA processing,3.29,2.4311334069364352e-12,44,4,RNA processing(3.29x); Nuc acid bind(2.94x); Chromatin(1.89x); Transcription(1.67x)
