word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xF72C,2,157,14.2,11.0,157,52,100,Transcription,2.38,9.896715237654913e-06,24,1,Transcription(2.38x)
0x0A25,2,118,10.9,10.9,118,36,88,DNA repair,6.0,3.7906278722007225e-05,8,1,DNA repair(6.0x)
0xA6DA,2,144,13.2,10.9,144,45,99,Ion channel,2.67,0.008733104218097518,8,2,Ion channel(2.67x); Transcription(2.29x)
0xD5AD,2,616,57.6,10.7,616,190,427,Transport,1.59,0.0028666259664315887,36,1,Transport(1.59x)
0x8698,2,83,7.8,10.7,83,20,51,Unclassified,0,1.0,0,0,
0xB420,2,99,9.2,10.7,99,34,69,Unclassified,0,1.0,0,0,
0x741A,2,81,7.6,10.7,81,25,52,Unclassified,0,1.0,0,0,
0x9E79,2,212,20.0,10.6,212,71,157,Cell adhesion,4.19,0.002873281541119891,6,3,Cell adhesion(4.19x); Cytoskeleton(3.67x); RNA processing(2.94x)
0xA697,2,199,18.9,10.6,199,70,139,Transcription,1.84,0.0009498919439391055,25,1,Transcription(1.84x)
0x7563,2,59,5.6,10.6,59,25,41,Unclassified,0,1.0,0,0,
0x5082,2,129,12.3,10.5,129,45,87,Unclassified,0,1.0,0,0,
0x6CB9,2,90,8.6,10.5,90,22,65,Unclassified,0,1.0,0,0,
0xDF7D,2,1638,157.1,10.4,1638,411,902,Cell adhesion,2.54,5.2169718350640577e-05,21,4,Cell adhesion(2.54x); Transcription(2.23x); Kinase(1.94x); Chromatin(1.55x)
0xD59D,2,655,63.0,10.4,655,217,460,Kinase,1.84,0.00856013223715519,18,2,Kinase(1.84x); Signaling(1.54x)
0x79E7,2,243,23.3,10.4,243,57,168,RNA processing,4.47,2.4199132212731164e-05,11,2,RNA processing(4.47x); Ion channel(2.64x)
0x3650,2,62,5.9,10.4,62,22,43,Cell adhesion,6.77,0.00926169618076574,3,1,Cell adhesion(6.77x)
0x0828,2,109,10.4,10.4,109,47,78,DNA repair,4.02,0.0015303243812003293,7,2,DNA repair(4.02x); Nuc acid bind(2.3x)
0xD5A9,2,309,30.0,10.3,309,112,241,Ion channel,2.01,0.006886647666907964,15,2,Ion channel(2.01x); Transport(1.87x)
0x7560,2,235,22.9,10.3,235,67,152,Cell cycle,3.22,0.0056252318060741715,7,3,Cell cycle(3.22x); Kinase(2.65x); Chromatin(2.57x)
0xB7DB,2,87,8.4,10.3,87,29,76,Transcription,2.31,0.001560577139304341,13,1,Transcription(2.31x)
0x5B98,2,186,18.2,10.2,186,65,131,Cytoskeleton,5.35,0.0001052798895036175,8,2,Cytoskeleton(5.35x); Kinase(3.75x)
0xD58D,2,312,30.6,10.2,312,100,223,Transport,1.84,0.0029016467126235846,22,1,Transport(1.84x)
0x7790,2,73,7.2,10.2,73,26,50,Signaling,2.7,0.0064711123175325794,8,1,Signaling(2.7x)
0x7690,2,142,14.1,10.1,142,45,87,Cell adhesion,7.72,2.664396410302965e-05,7,3,Cell adhesion(7.72x); Chromatin(4.2x); Transcription(2.18x)
0x8B2C,2,105,10.4,10.1,105,34,74,Transcription,1.97,0.008189532276330128,13,1,Transcription(1.97x)
0x68A2,2,177,17.7,10.0,177,44,118,RNA processing,3.69,0.0024884702449404356,7,1,RNA processing(3.69x)
0x5960,2,335,33.3,10.0,335,99,239,DNA repair,3.0,0.0009823271641011073,11,2,DNA repair(3.0x); Kinase(2.46x)
0xF5DF,2,62,6.2,10.0,62,24,42,Unclassified,0,1.0,0,0,
0x25B9,2,377,38.3,9.9,377,113,260,Cell adhesion,3.07,0.00740916390141303,7,4,Cell adhesion(3.07x); Cell cycle(3.0x); Kinase(2.36x); Signaling(1.79x)
0x69A6,2,1877,189.1,9.9,1877,478,963,Transcription,1.86,2.488845372523616e-19,172,1,Transcription(1.86x)
0x98B9,2,134,13.5,9.9,134,49,97,RNA processing,6.62,9.188844126704916e-09,14,2,RNA processing(6.62x); Nuc acid bind(2.8x)
0x75D0,2,359,36.6,9.8,359,124,252,Cytoskeleton,2.8,0.007433008981065326,8,1,Cytoskeleton(2.8x)
0x05D7,2,113,11.5,9.8,113,48,75,Transcription,1.93,0.002574626936259612,18,1,Transcription(1.93x)
0x7797,2,139,14.2,9.8,139,64,109,RNA processing,6.51,8.494283445785304e-11,18,2,RNA processing(6.51x); Nuc acid bind(2.93x)
0x75D3,2,286,29.2,9.8,286,89,183,Transcription,1.8,0.00040504994364193113,31,1,Transcription(1.8x)
0x8208,2,56,5.7,9.8,56,20,48,RNA processing,5.79,0.0013054467268887205,5,2,RNA processing(5.79x); Nuc acid bind(3.25x)
0x5963,2,80,8.1,9.8,80,31,56,Signaling,2.55,0.006031611229605135,9,1,Signaling(2.55x)
0x0B25,2,57,5.8,9.8,57,18,44,Unclassified,0,1.0,0,0,
0x25A2,2,490,50.4,9.7,490,137,321,Cytoskeleton,3.17,0.00112169219825613,10,3,Cytoskeleton(3.17x); Cell cycle(2.7x); Chromatin(2.26x)
0x8A2B,2,55,5.7,9.7,55,17,38,Cytoskeleton,10.22,0.0005043376650849328,4,1,Cytoskeleton(10.22x)
0x6CAD,2,96,9.9,9.7,96,21,56,Unclassified,0,1.0,0,0,
0x596E,2,102,10.5,9.7,102,41,75,Kinase,3.25,0.009412620396663941,6,1,Kinase(3.25x)
0x09D5,2,106,10.9,9.7,106,30,63,Unclassified,0,1.0,0,0,
0x0BD0,2,51,5.2,9.7,51,17,44,Unclassified,0,1.0,0,0,
