word_hex,word_bytes,word_ascii,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_with_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,primary_func_carrier_rate_pct,primary_func_background_rate_pct,all_significant_functions,n_significant_functions,top_families,family_concentration,top_family,all_carrier_genes
0xF61F,F6 1F,..,2,53,8.01,6.6,53,27,47,Unclassified,0.0,N/A,0,0.0,0.0,,0,ZNF(3); KCNC(3); LRBA(2); SPATA31C(2); HDLBP(2); Mylk(1); Polr2A(1); NPHS(1); XKR(1); Znf385c(1),5.7,ZNF,APLP1; ASH2L; ATG2A; Arhgap23; BICC1; CRB2; Cngb1; DGCR2; ECM5; Errfi1; Ezhip; HDLBP; Hdlbp; IL11RA; IL16; KCNC3; Kif17; LIAT1; LRBA; Lrba; Lrrc56; MAST4; MEN1; MICAL2; Mbd6; Mylk2; NEO1; NPHS1; OTUD1; Plekhg6; Polr2A; Rab44; RpI1; SIM1; SMARCC2; SPATA31C2; Spindoc; Ssc5d; TMCC1; TRAF3; Tmcc1; Traf3; XKR8; ZNF335; ZNF358; ZSCAN18; Znf385c
0x0411,04 11,..,2,57,3.07,18.5,57,16,47,Unclassified,0.0,N/A,0,0.0,0.0,,0,ITGB(6); MJ(3); NOD(3); CARMIL(2); SLIT(2); ITCH(2); YAP(1); Slit(1); Ambra(1); LRIG(1),10.5,ITGB,ARHGAP11A; ATP8B2; Ambra1; CARMIL1; Carmil1; DAL81; Dcst1; E2f1; ESP1; HAP4; ITCH; ITGB1; LRIG1; Lrrd1; MFM1; MJ0018; MJ0044; MJ1292; NEDD4L; NOD2; NRP1; NUP49; Nod2; Nrg; OSBPL7; PAN2; PGK1; Pgk1; SAY1; SLIT2; SNF11; SPC97; SPT23; Slit2; Steap2; TLR9; TOP2B; Tlr3; Top2; Top2b; VAR1; YAP6; ZFAND4; gag; sno; vas; vn
0x0A2B,0A 2B,.+,2,133,18.25,7.3,133,38,88,Unclassified,0.0,N/A,0,0.0,0.0,,0,TPM(18); CTNNB(12); LRPPRC(6); GRIK(4); Tpm(3); NAA(3); FHAD(3); GRIPAP(2); CAMTA(2); Naa(2),13.5,TPM,A2ml1; ABCB1; ACTN4; AFAP1; ANKRD24; ARMCX4; Abcb1a; Actn4; Arid4a; Axdnd1; CAMTA1; CCDC192; CD163; CEP290; CG4364; CHS5; CLCA1; CTNNB1; CUL4B; Ccdc73; Cep135; Ctnnb1; DCTN1; Dctn1; ERC1; EXOC5; Efl1; Esco1; Exoc5; FAM184B; FHAD1; GRIK1; GRIPAP1; Gart; Hmgn5; KIAA2012; LRPPRC; LUC7L; Lonrf3; MAP7D1; MARK3; MET10; MJ0590; Mark1; NAA15; NAA16; NAT1; NEK1; Naa15; Naa16
0x856C,85 6C,.l,2,169,30.02,5.6,169,70,126,Unclassified,0.0,N/A,0,0.0,0.0,,0,SKIC(8); CEP(6); BAIAP(4); SLC39A(4); GLE(4); SUSD(4); PTPRC(3); SLITRK(3); RYR(3); MYO9A(3),4.7,SKIC,ABCC8; AFAP1L1; AFF1; AGAP4; AGAP6; AGAP7P; AGBL3; AGGF1; AKAP9; ALS2CL; ANKDD1B; ANKS4B; ASXL1; Adamtsl2; Afap1l1; Atxn1l; BAIAP3; BLM10; CABIN1; CCDC158; CEP162; CEP250; CEP63; CFAP57; CLEC20A; CNTRL; CXXC1; Ccdc30; Cep250; Chd1; Cpa4; Cyp4aa1; Cyp6v1; DOP1A; DPP8; DYN1; EPS15; EXOC1L; FMNL3; FOXN4; Fit1; Fmnl3; Frem1; GLE1; GLK1; GRID2IP; Golga3; Grid2ip; Gtf2ird2; HAUS6
0xC7DC,C7 DC,..,2,53,5.42,9.8,53,21,49,Unclassified,0.0,N/A,0,0.0,0.0,,0,SPATA31A(5); CPEB(3); Foxj(2); NBL(2); ERI(2); B-H(1); Eip74EF(1); MNT(1); SPATA31C(1); DCAF(1),9.4,SPATA31A,ATXN2; Ankle1; B-H1; CPEB4; Cdx2; CenG1A; Cherp; Cpeb4; DCAF1; ERI3; Egfr; Eip74EF; Eip75B; Eri3; Ets21C; Ets96B; FOXJ3; FOXL2; Foxd2; Foxj2; Foxj3; HRG; Hmx; Inhba; KLK3; MNT; NBL1; PHLDA1; Palld; Peg10; Phlda1; Rnf111; SF3A2; SHOX; SPATA31A1; SPATA31A3; SPATA31A5; SPATA31A6; SPATA31A7; SPATA31C1; TPSB2; ZIC5; bcd; caup; hd; ispD; prd; slou; tty
0x0A11,0A 11,..,2,66,9.45,7.0,66,21,54,Unclassified,0.0,N/A,0,0.0,0.0,,0,IARS(7); KANK(3); SMARCC(3); MJ(2); CUL4B(2); TTC(2); HEATR(2); Tctp(1); Zmym(1); Map3k(1),10.6,IARS,ACO1; ALY2; ANGPTL1; ANKMY2; ANO1; Ack; Acot3; Alms1a; CUL4B; Cul4b; DGKB; EBLN2; FBP26; FMN1; GEA2; HEATR3; IARS1; ITC1; KANK1; Lifr; MAP3K15; MCF2; MCUR1; MJ0865; MJ0908; MJECL32; MKRN1; MNL2; Map3k15; Mkrn1; Mphosph9; Mys45A; OTOP1; PEP3; SIR4; SMARCC1; SMARCC2; SPS22; Smarcc2; THEMIS; TMCC3; TTC17; Tctp; Terb1; Tmc7; Ttc17; UNKNOWN_GENE; Usp26; Utp18; ZFYVE9
0x9DC9,9D C9,..,2,131,24.91,5.3,131,39,106,Unclassified,0.0,N/A,0,0.0,0.0,,0,IKBKG(7); TY1B-DR(5); UTY(5); BRCA(4); ZNF(3); TY1B-LR(3); PIK3CB(3); DMD(3); TY1B-GR(3); RAD(2),5.3,IKBKG,ADAMTS7; ADAMTSL3; ANAPC1; ARID1B; Acp36DE; Atp13a3; BRCA2; CCDC65; CG8202; CPHXL; CTNND2; Ccdc186; Chd9; DLG5; DMD; DSE; Dagla; Dmp1; Dnai1; Dse; EIF4G2; EXO84; FBXL3; FRMD7; Fbxl3; Fbxo3; HGS; Hs6st2; IKBKG; IQGAP1; ITPRID2; Iqgap1; Jhy; KANSL1; Kel; LAMA3; LRRC7; MBD5; MCM3; MTIF2; MYH9; MYO15B; Myh14; Myh9; NUTM2G; Nlrp1b; ObI1; Oog2; PDE4DIP; PIK3CB
0xE698,E6 98,..,2,140,25.26,5.5,140,61,114,Unclassified,0.0,N/A,0,0.0,0.0,,0,INF(8); MYO15B(4); ZNF(4); AQP(3); ZCCHC(3); PAPLN(3); TULP(3); QARS(2); Znf(2); MYO5A(2),5.7,INF,ABCA2; ACSM2A; ACSM2B; ACVR2B; ANKIB1; AQP2; ARHGAP23; ARHGAP4; ARHGEF5; AURKC; Acvr2b; Alp4; Ankib1; Arap3; Bcl9; CABIN1; CARMIL2; CCDC63; CG42342; CHD8; CLIP1; COL12A1; COL28A1; COL4A4; COL5A2; COL7A1; COL8A2; CPAMD8; CWF19L2; Carmil2; Cd55; Chd7; Chd8; Col13a1; Col23a1; Col28a1; Col6a1; Col6a2; Col8a2; DIP2A; DMC1; EFNA5; EMID1; FCHSD1; FHAD1; Gigyf1; HELZ2; Heatr5a; INF2; Itgb4
0x37D1,37 D1,7.,2,57,7.72,7.4,57,30,48,Unclassified,0.0,N/A,0,0.0,0.0,,0,EIF4G(5); APC(2); BAIAP2L(2); OR1D(2); SEMA4D(2); CC2D2B(2); NEB(2); Slco1a(1); pros(1); POMGNT(1),8.8,EIF4G,ADD3; AHCTF1; APC; Add3; Ahctf1; Apc; BAIAP2L2; BRCA2; Bpifb3; Brca2; CC2D2B; CHD5; CRTAC1; EIF2AK3; EIF4G1; Igsf9b; KIC1; Magel2; NDE1; NEB; NFIA; NFIB; NPAP1; Nfia; Niban2; OR13H1; OR1D4; OR1D5; OR1L1; OR2K2; OR2Y1; OR7C2; Or2y1b; PCDH20; POMGNT1; SCIN; SEMA4D; SI; Scin; Slco1a6; Supt5h; TBX20; TRS120; UBR4; WDR62; YML083C; pros; valS
0xCA2B,CA 2B,.+,2,167,12.92,12.9,167,52,99,Unclassified,0.0,N/A,0,0.0,0.0,,0,SLMAP(18); GOLGA(13); ATP7B(12); TSBP(10); ZFAT(4); ARHGEF(4); CEP(4); Myh(3); GOLGB(2); DHX(2),10.8,SLMAP,ABCB4; AMER1; AP1B1; ARHGEF1; ATP7B; Adat1; Akap12; Atp13a4; Atp6v1e1; Atp7a; BCAS1; BNC1; BRD7; BoYb; Brd7; C1orf167; C6orf163; CCDC175; CEP250; CEP350; CHTF18; CIZ1; CLUH; CNTRL; Cdyl2; Clip1; Clspn; Cntrl; DCTN1-p150; DHX30; DNAH17; DOK7; Dbnl; Dmd; Ehbp1l1; Espl1; F8; FES; FOXK2; FYCO1; Fam120b; Fes; Frl; GEMIN5; GOLGA3; GOLGB1; GRS1; Golga3; Gprasp1; Helz2
