word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xDE56,2,96,18.2,5.3,96,70,96,Proteolysis,11.46,3.637901799660019e-38,42,2,Proteolysis(11.46x); Nuc acid bind(3.03x)
0x50A2,2,52,9.9,5.2,52,33,52,Unclassified,0,1.0,0,0,
0xDB5D,2,196,37.8,5.2,196,124,196,Proteolysis,4.93,3.3886911638365383e-15,32,2,Proteolysis(4.93x); Nuc acid bind(2.41x)
0x7428,2,55,10.7,5.2,55,39,55,Proteolysis,9.31,4.162027786028119e-15,19,2,Proteolysis(9.31x); Nuc acid bind(3.09x)
0x6289,2,67,13.0,5.2,67,39,67,Unclassified,0,1.0,0,0,
0x1355,2,63,12.2,5.2,63,61,63,Proteolysis,8.46,8.940605399993517e-20,27,2,Proteolysis(8.46x); Nuc acid bind(4.26x)
0xD082,2,130,25.7,5.1,130,85,130,Unclassified,0,1.0,0,0,
0x74D7,2,50,9.7,5.1,50,32,50,Signaling,5.92,1.0428189315398575e-05,9,2,Signaling(5.92x); Transcription(2.06x)
0x3565,2,58,11.3,5.1,58,29,58,Unclassified,0,1.0,0,0,
0x5D75,2,358,71.2,5.0,358,191,358,Kinase,3.34,2.2903923384162362e-09,29,4,Kinase(3.34x); Signaling(3.31x); Ubiquitin(2.01x); Transcription(1.56x)
0x5D76,2,264,52.7,5.0,264,153,264,Proteolysis,4.25,5.262776469035443e-14,34,2,Proteolysis(4.25x); Nuc acid bind(2.36x)
0x75D75D,3,43,8.6,5.0,43,15,43,Cell adhesion,54.95,0.0005221093864095832,2,2,Cell adhesion(54.95x); Signaling(5.62x)
0x5D75D7,3,45,9.0,5.0,45,17,45,Unclassified,0,1.0,0,0,
0x2742,2,83,16.5,5.0,83,57,83,Proteolysis,9.72,2.0923494197934778e-23,29,2,Proteolysis(9.72x); Nuc acid bind(2.79x)
0x861861,3,26,5.2,5.0,26,15,26,Transcription,2.94,0.0021815004245155914,8,1,Transcription(2.94x)
0x186186,3,26,5.2,5.0,26,16,26,Chromatin,3.9,0.006608731808238699,5,2,Chromatin(3.9x); Transcription(2.75x)
0x618618,3,29,5.8,5.0,29,18,29,Chromatin,4.86,0.00028506925245066545,7,2,Chromatin(4.86x); Transcription(2.75x)
0xCB2CB2CB2C,5,32,6.4,5.0,32,25,32,Chromatin,4.0,0.0004883118889344502,8,2,Chromatin(4.0x); Transcription(3.52x)
