gene,department
ARHGAP35,Signaling
ARHGAP35,GTPase
ARHGAP36,Signaling
ARHGAP39,Signaling
ARHGAP4,Signaling
ARHGAP4,Cytoskeleton
ARHGAP40,Signaling
ARHGAP42,Signaling
ARHGAP44,Signaling
ARHGAP45,Signaling
ARHGAP5,Signaling
ARHGAP5,Cell adhesion
ARHGAP5,GTPase
ARHGAP6,Signaling
ARHGAP8,Signaling
ARHGAP8,GTPase
ARHGAP9,Signaling
ARHGAP9,GTPase
ARHGDIB,GTPase
ARHGEF1,Nuc acid bind
ARHGEF12,Signaling
ARHGEF18,GTPase
ARHGEF2,Transcription
ARHGEF2,Cell cycle
ARHGEF2,Immune
ARHGEF2,GTPase
ARHGEF28,Nuc acid bind
ARHGEF28,GTPase
ARHGEF3,Signaling
ARHGEF4,Signaling
ARHGEF5,Signaling
ARHGEF6,Apoptosis
ARHGEF7,Signaling
ARHGEF7,Apoptosis
ARID1A,Chromatin
ARID1A,Transcription
ARID1B,Chromatin
ARID1B,Transcription
ARID2,Chromatin
ARID2,Transcription
ARID3A,Transcription
ARID3B,Transcription
ARID3C,Transcription
ARID4A,Chromatin
ARID4A,Transcription
ARID4B,Chromatin
ARID4B,Transcription
ARID5A,Transcription
ARID5A,Nuc acid bind
ARID5A,Immune
ARID5B,Transcription
ARIH1,Ubiquitin
ARIH2,Ubiquitin
ARL1,Transport
ARL1,GTPase
ARL10,GTPase
ARL11,Transport
ARL11,GTPase
ARL13A,GTPase
ARL13B,GTPase
ARL14,Transport
ARL14,GTPase
ARL15,GTPase
ARL16,GTPase
ARL17A,Transport
ARL17A,GTPase
ARL2,Protein folding
ARL2,GTPase
ARL2BP,Signaling
ARL3,Cell cycle
ARL3,GTPase
ARL4A,Transport
ARL4A,GTPase
ARL4C,GTPase
ARL4D,Transport
ARL4D,GTPase
ARL5A,Transport
ARL5A,GTPase
ARL5B,Transport
ARL5B,GTPase
ARL5C,Transport
ARL5C,GTPase
ARL6,Transport
ARL6,GTPase
