word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0x7D77DF,3,21,4.2,5.0,21,5,18,Kinase,6.46,0.0010535590028454148,4,1,Kinase(6.46x)
0x58159D,3,23,4.6,5.0,23,10,11,Signaling,6.59,1.3460188969325107e-05,7,1,Signaling(6.59x)
0x555555,3,51,10.2,5.0,51,11,45,Kinase,4.41,0.0009432441860410554,6,1,Kinase(4.41x)
0xB6DB6D,3,27,5.4,5.0,27,12,22,Unclassified,0,1.0,0,0,
0xD75D74,3,22,4.4,5.0,22,10,19,Unclassified,0,1.0,0,0,
0xD75D75D75D,5,63,12.6,5.0,63,8,48,Unclassified,0,1.0,0,0,
0x410410,3,28,5.6,5.0,28,11,25,Transcription,3.13,0.00018290507502173958,9,1,Transcription(3.13x)
0x041041,3,37,7.4,5.0,37,17,31,Transcription,3.37,1.3823279644382408e-07,15,1,Transcription(3.37x)
0xDF7DF5,3,30,6.0,5.0,30,5,23,Unclassified,0,1.0,0,0,
0xB2CB2CB2,4,43,8.6,5.0,43,20,35,Transcription,2.87,6.8315885848428275e-06,15,1,Transcription(2.87x)
0xA69469,3,22,4.4,5.0,22,8,17,Nuc acid bind,6.1,5.130625113251511e-07,8,1,Nuc acid bind(6.1x)
0x18618618,4,44,8.8,5.0,44,14,32,Unclassified,0,1.0,0,0,
0x618618,3,88,17.6,5.0,88,21,67,Unclassified,0,1.0,0,0,
0x1861861861,5,33,6.6,5.0,33,9,21,Unclassified,0,1.0,0,0,
0x61861861,4,53,10.6,5.0,53,14,39,Unclassified,0,1.0,0,0,
0x2CB2CB2CB2,5,28,5.6,5.0,28,15,21,Transcription,2.8,0.00017742787124803088,11,1,Transcription(2.8x)
0x2CB2CB2C,4,47,9.4,5.0,47,21,34,Transcription,2.73,1.811161888745336e-05,15,1,Transcription(2.73x)
0x5D75D8,3,22,4.4,5.0,22,8,19,Unclassified,0,1.0,0,0,
0xCB2CB2CB2C,5,24,4.8,5.0,24,15,20,Transcription,3.06,2.0082888863384252e-05,12,1,Transcription(3.06x)
0xB2CB2CB2CB,5,21,4.2,5.0,21,11,16,Transcription,3.13,0.00018290507502173958,9,1,Transcription(3.13x)
0x1C71C7,3,22,4.4,5.0,22,9,15,Transcription,2.97,0.0017880383454676127,7,1,Transcription(2.97x)
0xD75D76,3,41,8.2,5.0,41,11,28,Transcription,2.78,0.0016311420461059762,8,1,Transcription(2.78x)
0xE5DE5D,3,27,5.4,5.0,27,12,18,RNA processing,15.84,5.819448071423476e-08,7,2,RNA processing(15.84x); Nuc acid bind(5.08x)
0x8618618618,5,24,4.8,5.0,24,5,16,Unclassified,0,1.0,0,0,
0x86186186,4,40,8.0,5.0,40,11,31,Nuc acid bind,3.33,0.004204301814561868,6,1,Nuc acid bind(3.33x)
0xF5DF7D,3,21,4.2,5.0,21,8,17,Kinase,6.06,7.969219597621499e-05,6,1,Kinase(6.06x)
0x820820,3,28,5.6,5.0,28,7,23,Unclassified,0,1.0,0,0,
0xF7DF5D,3,20,4.0,5.0,20,7,16,Kinase,5.77,0.0004879077077824182,5,1,Kinase(5.77x)
0x5DF7DF,3,30,6.0,5.0,30,6,26,Kinase,5.38,0.002850059899190994,4,1,Kinase(5.38x)
0x9A69A69A69,5,20,4.0,5.0,20,5,16,Unclassified,0,1.0,0,0,
0x6186186186,5,27,5.4,5.0,27,7,19,Unclassified,0,1.0,0,0,
